55,M & M Grocery,-79.773286999999996,36.071556000000001,Market,1328 US-70 Alt,Greensboro,NC,27401
56,Your Way Food Store,-79.832130000000006,36.052852000000001,Market,2468 W Florida St,Greensboro,NC,27403
57,Food Lion,-79.820939999999993,36.051467000000002,Grocery,1799 Boyden St,Greensboro,NC,27403
58,Carnicería El Mercadito,-79.869422999999998,36.070256999999998,Market,4805 Silverbriar Ct,Greensboro,NC,27410
59,Food Lion Grocery Store,-79.833613999999997,36.139257999999998,Grocery,4797 Lawndale Dr,Greensboro,NC,27455
60,Lowes Foods,-79.881681999999998,36.114586000000003,Grocery,,,,
61,Walmart Neighborhood Market,-79.849045000000004,36.038618999999997,Grocery,2213 S Holden Rd,Greensboro,NC,27407
62,Bessemer Curb Market,-79.774049000000005,36.084918999999999,Market,936 E Bessemer Ave,Greensboro,NC,27405
63,Charlie Grocery,-79.790694999999999,36.069853999999999,Market,310 S Elm St,Greensboro,NC,27401
64,E Z Way Grocery,-79.834652000000006,36.050755000000002,Convenience Store,2712 Hayden St,Greensboro,NC,27407
65,The Fresh Market,-79.879673999999994,36.111521000000003,Grocery,1572 Highwoods Blvd,Greensboro,NC,27410
66,Food Lion Grocery Store,-79.905101999999999,36.124811000000001,Grocery,,,,
67,Foode Rite Curb Market & Deli,-79.743385000000004,36.083238999999999,Market,3212 E Market St,Greensboro,NC,27405
68,Harris Teeter,-79.821420000000003,36.103957000000001,Grocery,,,,
69,Save-A-Lot,-79.801709000000002,36.037883000000001,Grocery,503 W Meadowview Rd,Greensboro,NC,27406
70,Harris Teeter,-79.846059999999994,36.120641999999997,Grocery,,,,
71,El Baraka Market,-79.831709000000004,36.059393999999998,Market,2286 Patterson Ct,Greensboro,NC,27407
72,College Mart,-79.805368000000001,36.068171000000000,Convenience Store,997 Walker Ave,Greensboro,NC,27403
73,Li Ming's Global Market,-79.850551999999993,36.037970000000001,Market,2216 S Holden Rd,Greensboro,NC,27407
74,Lowes Foods,-79.933267000000001,36.128570000000003,Grocery,,,,
75,Compare Foods,-79.774721000000000,36.086823000000003,Grocery,1048 US-29 Alt,Greensboro,NC,27405
76,La Quinta Mexican Store,-79.720972000000003,36.161209999999997,Market,5819 Harvest Hill Rd,Greensboro,NC,27405
77,Tienda Latinos,-79.765351999999993,36.085439999999998,Market,1002 Tucker St,Greensboro,NC,27405
78,Deep Roots Market,-79.793253000000007,36.079140000000002,Grocery,544 N Eugene St,Greensboro,NC,27401
79,Harris Teeter,-79.897456000000005,36.017201999999997,Grocery,,,,
80,Coe Grocery & Seed Co,-79.790322000000003,36.066344000000001,Market,559 S Elm St,Greensboro,NC,27406
81,Super G Mart,-79.875142999999994,36.066566999999999,Grocery,,,,
82,Whole Foods Market,-79.834038000000007,36.085788999999998,Grocery,655 Pembroke Rd,Greensboro,NC,27408
83,Earth Fare,-79.835770999999994,36.113875000000000,Grocery,145 Edney Ridge Rd,Greensboro,NC,27408
84,Bestway,-79.827670999999995,36.068586000000003,Grocery,2177 Walker Ave,Greensboro,NC,27403
85,Krishna Indian Grocery,-79.856137000000004,36.037933000000002,Market,3813 Idol Ct,Greensboro,NC,27407
86,INDU INDIAN GROCERY STORE (INDU CONVENIENT STORE),-79.874027999999996,36.067964000000003,Market,4915 W Market St,Greensboro,NC,27407
